"hotel_id","hbg_code","airport_code"
1323420,"316925","LON"
1323421,"36765","LON"
1323424,"174553","LON"
1323425,"183898","LON"
1323662,"13895","LON"
1323942,"6646","LON"
1323943,"6650","LON"
1323817,"6569","LON"
1324247,"14091","LON"
1325184,"9015","LON"
1327047,"164992","LON"
1327043,"8899","LON"
1327055,"9472","LON"
1327300,"17397","LON"
1328002,"172419","LON"
1328003,"172420","LON"
1328082,"100616","LON"
1328129,"9244","LON"
1328150,"14986","LON"
1328151,"16061","LON"
1328152,"143393","LON"
1328206,"151634","LON"
1328307,"13897","LON"
1328159,"25861","LON"
1328267,"6558","LON"
1328130,"6616","LON"
1328132,"8899","LON"
1328131,"15895","LON"
1328357,"222260","LON"
1328386,"162374","LON"
1328536,"156620","LON"
1328618,"15155","LON"
1328625,"6561","LON"
1328629,"15775","LON"
1328630,"7560","LON"
1328632,"7568","LON"
1328633,"6560","LON"
1328638,"7549","LON"
1328641,"7580","LON"
1328644,"36769","LON"
1328654,"6638","LON"
1328656,"8903","LON"
1328657,"167509","LON"
1328660,"15777","LON"
1328661,"6548","LON"
1328665,"7546","LON"
1328666,"9474","LON"
1328668,"9016","LON"
1328669,"6628","LON"
1328670,"7541","LON"
1328674,"9476","LON"
1328609,"15126","LON"
1328645,"7545","LON"
1328611,"9131","LON"
1328634,"6639","LON"
1328649,"7573","LON"
1328662,"6617","LON"
1328612,"8907","LON"
1328639,"26120","LON"
1328671,"9221","LON"
1328624,"6609","LON"
1328631,"7566","LON"
1328478,"6564","LON"
1328613,"7603","LON"
1328628,"6573","LON"
1328626,"15894","LON"
1328673,"6608","LON"
1328667,"9225","LON"
1328637,"6550","LON"
1328663,"6619","LON"
1328646,"7556","LON"
1328640,"7558","LON"
1328621,"9472","LON"
1328655,"6556","LON"
1328614,"15142","LON"
1328642,"6610","LON"
1328675,"6627","LON"
1328658,"13896","LON"
1328643,"7542","LON"
1328685,"13901","LON"
1328757,"13885","LON"
1328774,"155257","LON"
1328787,"7567","LON"
1328808,"77690","LON"
1328829,"8901","LON"
1328910,"102239","LON"
1328930,"156955","LON"
1329005,"47956","LON"
1329021,"14990","LON"
1328717,"25682","LON"
1328688,"7555","LON"
1329024,"103836","LON"
1328907,"183898","LON"
1328719,"25860","LON"
1328686,"6641","LON"
1328691,"7561","LON"
1328694,"7565","LON"
1328697,"6615","LON"
1328863,"164992","LON"
1328687,"7564","LON"
1329023,"7578","LON"
1328770,"70989","LON"
1329013,"103993","LON"
1328782,"7563","LON"
1328695,"7544","LON"
1328696,"7550","LON"
1328679,"6547","LON"
1328689,"7551","LON"
1328693,"6557","LON"
1329400,"153304","LON"
1329404,"172420","LON"
1329856,"6647","LON"
1329883,"17415","LON"
1329889,"164412","LON"
1330395,"8901","LON"
1330539,"13896","LON"
1330643,"7546","LON"
1330657,"100015","LON"
1330660,"14835","LON"
1330664,"14993","LON"
1330676,"27179","LON"
1330677,"17670","LON"
1330679,"7572","LON"
1330681,"107677","LON"
1330730,"160781","LON"
